Ref	Scraped?	LEA Name	City	County	LEA Type
SB978-484	Lexipol	San Rafael Police Department	San Rafael	Marin County	Police
SB978-485	Lexipol	San Ramon Police Department	San Ramon	Contra Costa County	Police
SB978-486	Lexipol	Sand City Police Department	Sand City	Monterey County	Police
SB978-487	Lexipol	Sanger Police Department	Sanger	Fresno County	Police
SB978-488	Lexipol	Santa Ana Police Department	Santa Ana	Orange County	Police
SB978-489	Not scraped	Santa Ana Unified School District Police Department	Santa Ana	Orange County	School
SB978-491	Lexipol	Santa Barbara County Sheriff's Department	Santa Barbara	Santa Barbara County	Sheriff
SB978-492	Lexipol	Santa Barbara Police Department	Santa Barbara	Santa Barbara County	Police
SB978-495	Not scraped	Santa Clara County Sheriff's Department	San Jose	Santa Clara County	Sheriff
SB978-496	Lexipol	Santa Clara Police Department	Santa Clara	Santa Clara County	Police
SB978-498	Not scraped	Santa Cruz County District Attorney	Santa Cruz	Santa Cruz County	District Attorney
SB978-499	Lexipol	Santa Cruz County Sheriff's Department	Santa Cruz	Santa Cruz County	Sheriff
SB978-500	Lexipol	Santa Cruz Police Department	Santa Cruz	Santa Cruz County	Police
SB978-501	Not scraped	Santa Fe Springs Police Services	Santa Fe Springs	Los Angeles County	Police
SB978-502	Not scraped	Santa Maria Police Department	Santa Maria	Santa Barbara County	Police
SB978-504	Not Lexipol	Santa Monica Police Department	Santa Monica	Los Angeles County	Police
SB978-505	Lexipol	Santa Paula Police Department	Santa Paula	Ventura County	Police
SB978-506	Not scraped	Santa Rosa Junior College Police Department	Santa Rosa	Sonoma County	College/University
SB978-507	Not scraped	Santa Rosa Police Department	Santa Rosa	Sonoma County	Police
SB978-508	Lexipol	Sausalito Police Department	Sausalito	Marin County	Police
SB978-509	Lexipol	Scotts Valley Police Department	Scotts Valley	Santa Cruz County	Police
SB978-510	Lexipol	Seal Beach Police Department	Seal Beach	Orange County	Police
SB978-511	Lexipol	Seaside Police Department	Seaside	Monterey County	Police
SB978-512	Lexipol	Sebastopol Police Department	Sebastopol	Sonoma County	Police
SB978-513	Not scraped	Selma Police Department	Selma	Fresno County	Police
SB978-514	Lexipol	Shafter Police Department	Shafter	Kern County	Police
SB978-517	Lexipol	Shasta County Sheriff's Department	Redding	Shasta County	Sheriff
SB978-520	Lexipol	Sierra County Sheriff's Office	Downieville	Sierra County	Sheriff
SB978-521	Lexipol	Sierra Madre Police Department	Sierra Madre	Los Angeles County	Police
SB978-522	Lexipol	Signal Hill Police Department	Signal Hill	Los Angeles County	Police
SB978-523	Lexipol	Simi Valley Police Department	Simi Valley	Ventura County	Police
SB978-525	Lexipol	Siskiyou County Sheriff's Department	Yreka	Siskiyou County	Sheriff
SB978-529	Not scraped	Solano County Sheriff's Department	Fairfield	Solano County	Sheriff
SB978-531	Not Lexipol	Soledad Police Department	Soledad	Monterey County	Police
SB978-534	Not scraped	Sonoma County Probation Department	Santa Rosa	Sonoma County	Probation
SB978-535	Lexipol	Sonoma County Sheriff's Office	Santa Rosa	Sonoma County	Sheriff
SB978-536	Not scraped	Sonoma Police Department	Sonoma	Sonoma County	Police
SB978-140	Not scraped	Sonoma State University Police and Parking Services	Rohnert Park	Sonoma County	College/University
SB978-537	Lexipol	Sonora Police Department	Sonora	Tuolumne County	Police
SB978-538	Lexipol	South Gate Police Department	South Gate	Los Angeles County	Police
SB978-539	Lexipol	South Lake Tahoe Police Department	South Lake Tahoe	El Dorado County	Police
SB978-540	Lexipol	South Pasadena Police Department	South Pasadena	Los Angeles County	Police
SB978-541	Not scraped	South San Francisco Police Department	South San Francisco	San Mateo County	Police
SB978-542	Lexipol	Southwestern Community College Police Department	Chula Vista	San Diego County	College/University
SB978-544	Not Lexipol	Stanford University Department of Public Safety 	Palo Alto	Santa Clara County	College/University
SB978-546	Lexipol	Stanislaus County Sheriff's Department	Modesto	Stanislaus County	Sheriff
SB978-548	Not scraped	Stockton Police Department	Stockton	San Joaquin County	Police
SB978-551	Lexipol	Suisun City Police Department	Suisun City	Solano County	Police
SB978-552	Lexipol	Sunnyvale Department of Public Safety	Sunnyvale	Santa Clara County	Police
SB978-556	Not scraped	Sutter County Sheriff's Department	Yuba City	Sutter County	Sheriff
SB978-558	Lexipol	Taft Police Department	Taft	Kern County	Police
SB978-559	Lexipol	Tehachapi Police Department	Tehachapi	Kern County	Police
SB978-561	Lexipol	Tehama County Sheriff's Department	Red Bluff	Tehama County	Sheriff
SB978-563	Lexipol	Tiburon Police Department	Tiburon	Marin County	Police
SB978-564	Lexipol	Torrance Police Department	Torrance	Los Angeles County	Police
SB978-565	Not Lexipol	Tracy Police Department	Tracy	San Joaquin County	Police
SB978-569	Lexipol	Trinity County Sheriff's Department	Weaverville	Trinity County	Sheriff
SB978-570	Lexipol	Truckee Police Department	Truckee	Nevada County	Police
SB978-573	Lexipol	Tulare County Sheriff's Department	Visalia	Tulare County	Sheriff
SB978-574	Lexipol	Tulare Police Department	Tulare	Tulare County	Police
SB978-577	Lexipol	Tuolumne County Sheriff's Department	Sonora	Tuolumne County	Sheriff
SB978-578	Lexipol	Turlock Police Department	Turlock	Stanislaus County	Police
SB978-579	Not scraped	Tustin Police Department	Tustin	Orange County	Police
SB978-580	Lexipol	Twin Rivers Unified School District Police Services	McClellan Park	Sacramento County	School
SB978-581	Lexipol	UC Berkeley Police Department	Berkeley	Alameda County	College/University
SB978-582	Not scraped	UC Davis Police Department	Davis	Yolo County	College/University
SB978-583	Lexipol	UC Irvine Police Department	Irvine	Orange County	College/University
SB978-584	Not scraped	UC Los Angeles Police Department	Los Angeles	Los Angeles County	College/University
SB978-585	Lexipol	UC Merced Police Department	Merced	Merced County	College/University
SB978-586	Lexipol	UC Riverside Police Department	Riverside	Riverside County	College/University
SB978-587	Not Lexipol	UC San Diego Police Department	San Diego 	San Diego County	College/University
SB978-588	Not Lexipol	UC San Francisco Police Department	San Francisco	San Francisco County	College/University
SB978-589	Not scraped	UC Santa Barbara Police Department	Santa Barbara	Santa Barbara County	College/University
SB978-590	Not scraped	UC Santa Cruz Police Department	Santa Cruz	Santa Cruz County	College/University
SB978-591	Lexipol	Ukiah Police Department	Ukiah	Mendocino County	Police
SB978-592	Not scraped	Union City Police Department	Union City	Alameda County	Police
SB978-597	Not scraped	Upland Police Department	Upland	San Bernardino County	Police
SB978-598	Lexipol	Vacaville Police Department	Vacaville	Solano County	Police
SB978-600	Not scraped	Vallejo Police Department	Vallejo	Solano County	Police
SB978-601	Not scraped	Ventura County Community College District Police Department	Camarillo	Ventura County	College/University
SB978-602	Lexipol	Ventura County District Attorney	Ventura	Ventura County	District Attorney
SB978-603	Lexipol	Ventura County Sheriff's Department	Ventura	Ventura County	Sheriff
SB978-605	Lexipol	Ventura Police Department	Ventura	Ventura County	Police
SB978-606	Lexipol	Vernon Police Department	Vernon	Los Angeles County	Police
SB978-607	Lexipol	Victor Valley College Police Department	Victorville	San Bernardino County	College/University
SB978-608	Lexipol	Visalia Police Department	Visalia	Tulare County	Police
SB978-609	Not scraped	Walnut Creek Police Department	Walnut Creek	Contra Costa County	Police
SB978-610	Lexipol	Watsonville Police Department	Watsonville	Santa Cruz County	Police
SB978-611	Lexipol	Weed Police Department	Weed	Siskiyou County	Police
SB978-612	Not Lexipol	West Cities Police Communications Center	Seal Beach	Orange County	Communications
SB978-613	Lexipol	West Covina Police Department	West Covina	Los Angeles County	Police
SB978-614	Lexipol	West Sacramento Police Department	West Sacramento	Yolo County	Police
SB978-615	Not scraped	West Valley-Mission Community College District Police Department	Saratoga	Santa Clara County	College/University
SB978-616	Lexipol	Westminster Police Department	Westminster	Orange County	Police
SB978-618	Lexipol	Wheatland Police Department	Wheatland	Yuba County	Police
SB978-620	Lexipol	Whittier Police Department	Whittier	Los Angeles County	Police
SB978-621	Lexipol	Williams Police Department	Williams	Colusa County	Police
SB978-622	Not scraped	Willits Police Department	Willits	Mendocino County	Police
SB978-623	Lexipol	Windsor Police Department	Windsor	Sonoma County	Police
SB978-624	Not scraped	Winters Police Department	Winters	Yolo County	Police
SB978-626	Lexipol	Woodland Police Department	Woodland	Yolo County	Police
SB978-627	Lexipol	Yolo County District Attorney	Woodland	Yolo County	District Attorney
SB978-628	Not scraped	Yolo County Sheriff's Department	Woodland	Yolo County	Sheriff
SB978-629	Lexipol	Yreka Police Department	Yreka	Siskiyou County	Police
SB978-630	Not scraped	Yuba City Police Department	Yuba City	Sutter County	Police
SB978-633	Not Lexipol	Yuba County Sheriff's Department	Marysville	Yuba County	Sheriff
